id,timestamp,symbol,price,volume,volatility,rsi,macd,bollinger_position,market_cap,pe_ratio,volume_profile,price_momentum,liquidity_ratio,order_book_imbalance,cross_correlation,sector_beta,vwap_deviation,time_of_day_factor,is_anomaly,anomaly_type,anomaly_reason_1,anomaly_reason_2,anomaly_reason_3
trade_000000,2025-06-10 02:45:00,JNJ,214.28,44100,0.3601,64.5,-0.9143,0.219,663528645634,33.05,1.0751,0.0428,0.6786,0.0022,0.4858,1.0427,0.0115,0.7496,0,,,,
trade_000001,2025-06-11 15:31:05,WMT,160.35,42334,0.2127,32.28,0.6883,0.6358,392593569270,12.14,1.1465,-0.016,0.87,0.0001,0.385,0.8459,-0.0032,0.8838,0,,,,
trade_000002,2025-06-20 08:27:52,AAPL,231.37,2434,0.1245,64.63,0.952,0.5328,280780391417,21.48,0.9131,0.008,0.8637,0.0119,0.3709,0.9201,0.0176,0.8306,0,,,,
trade_000003,2025-06-14 00:20:13,XOM,252.95,5030,0.1087,48.42,1.9233,0.6429,478654265240,38.73,1.1733,0.0221,0.10161222629714725,0.43756681126791674,0.3114,0.9016,0.004880939034839521,0.9604,1,liquidity_crisis,Liquidity crisis: ratio 0.102,Order book imbalance: 43.8%,"Low volume: 5,030 shares"
trade_000004,2025-06-16 08:29:12,AMZN,289.9,34006,0.2592,42.22,-1.2188,0.279,607222560390,37.65,1.1586,0.0232,0.7686,-0.0167,0.4988,1.0207,0.0127,1.1132,0,,,,
trade_000005,2025-05-24 14:53:05,META,420.03,40236,0.306,64.67,1.1981,0.7094,415020285243,22.8,0.9153,0.005,0.6778,0.0748,0.4365,1.1738,0.011,0.9482,0,,,,
trade_000006,2025-06-15 06:31:14,GOOGL,235.53,18901,0.3014,49.9,-1.6875,0.6548,579370366028,23.22,0.9935,0.0045,0.8296,-0.0305,0.6011,1.0759,0.0182,0.7487,0,,,,
trade_000007,2025-06-14 16:58:49,JPM,94.97,9485,0.2193,44.78,0.3565,0.2385,801450679748,12.88,1.1784,-0.0499,0.8646,-0.0819,0.548,0.9029,-0.0066,1.2125,0,,,,
trade_000008,2025-05-27 12:47:13,PG,177.66,16471,0.1599,37.35,1.5543,0.6394,298397172632,31.33,0.9729,0.0135,0.6459,-0.0152,0.6357,1.167,0.0005,1.2047,0,,,,
trade_000009,2025-06-02 15:49:18,NFLX,341.37,26431,0.2939,69.77,0.6921,0.469,862737025036,27.78,0.8111,0.0295,0.8546,0.0699,0.469,0.9818,0.0064,0.8108,0,,,,
trade_000010,2025-06-11 03:03:21,META,348.43,3365,0.2536,41.09,0.3982,0.6166,850723884045,36.93,1.1606,-0.0441,0.7445,0.0876,0.4135,0.8155,0.0057,1.2121,0,,,,
trade_000011,2025-06-17 01:12:55,AMZN,66.63,38190,0.3971,65.12,1.3462,0.6359,16325991741,31.48,1.1597,0.0478,0.6519,0.0335,0.4909,0.9718,-0.0061,1.1106,0,,,,
trade_000012,2025-05-25 11:30:02,GOOGL,201.08,14113,0.3849,37.57,-0.4625,0.3697,11947229191,19.07,1.0661,-0.0474,0.9871,-0.0275,0.637,1.0236,0.0058,1.2997,0,,,,
trade_000013,2025-06-03 23:54:58,WMT,368.25,41597,0.2748,55.41,-1.8061,0.2157,596655276343,23.36,1.1037,-0.0385,0.8038,-0.0516,0.3758,1.123,0.0001,1.1084,0,,,,
trade_000014,2025-06-10 00:25:13,AMZN,66.54,1807,0.2636,53.86,-0.4572,0.4223,353398963807,32.24,0.9279,0.0288,0.8569,0.0478,0.4427,0.8359,-0.0175,1.2047,0,,,,
trade_000015,2025-06-21 15:14:41,WMT,238.47,40278,0.2478,52.41,0.9517,0.2803,257812615132,37.58,1.0813,-0.0447,0.8565,0.0279,0.3616,1.2305,0.0131,1.1395,0,,,,
trade_000016,2025-05-27 09:51:08,JPM,301.84,29557,0.2285,67.69,1.0655,0.4805,600614013436,22.64,0.959,-0.0334,0.9607,-0.0339,0.36,1.2294,0.0003,0.8597,0,,,,
trade_000017,2025-05-29 09:31:28,NFLX,92.13,18753,0.1767,39.84,0.5131,0.3317,842089766919,34.75,0.9172,0.017,0.9931,0.0677,0.443,1.0846,0.0163,1.227,0,,,,
trade_000018,2025-06-17 11:50:42,KO,193.53,47477,0.1082,46.33,-1.8144,0.3891,870889485550,12.88,1.1728,-0.0133,0.986,0.0012,0.3982,1.0512,0.0065,1.0582,0,,,,
trade_000019,2025-05-30 16:35:19,WMT,154.56,42775,0.1233,42.91,-0.6123,0.2589,47123612840,27.46,1.0527,0.0394,0.9621,0.064,0.5473,0.8609,-0.0075,1.0117,0,,,,
trade_000020,2025-06-08 20:59:16,PFE,317.33,32958,0.2414,56.29,-1.8944,0.2009,862898691677,15.6,0.8498,-0.0412,0.754,0.0928,0.6007,1.0726,-0.007,0.9028,0,,,,
trade_000021,2025-05-25 16:44:58,PG,99.39,39086,0.1342,34.74,-1.5963,0.2355,861501628016,12.85,1.0188,0.0095,0.8035,0.0357,0.5625,0.9372,-0.0131,0.7407,0,,,,
trade_000022,2025-06-11 10:18:44,BAC,169.13,49283,0.2185,64.58,-1.6182,0.7984,113828176743,16.72,0.8883,-0.0269,0.8366,0.0527,0.345,0.9326,-0.0095,0.7144,0,,,,
trade_000023,2025-06-10 05:13:12,TSLA,357.78,40538,0.3437,56.6,0.0675,0.6586,341409914775,39.16,0.8116,0.0237,0.9107,-0.059,0.5447,1.388,0.0118,1.2381,0,,,,
trade_000024,2025-06-09 13:57:41,MSFT,52.59,21254,0.3224,42.12,1.6131,0.2053,930489989198,18.04,0.9654,-0.0044,0.5815,0.0827,0.3884,1.0561,0.0072,0.7266,0,,,,
trade_000025,2025-06-07 11:08:33,JNJ,318.94,44064,0.1935,42.68,0.6237,0.7056,18776581743,15.04,1.1465,0.0192,0.5329,0.0644,0.5974,1.2798,-0.0008,0.9611,0,,,,
trade_000026,2025-06-16 20:15:59,TSLA,374.1,10122,0.1986,35.9,-0.0883,0.5765,743404008023,36.9,1.0277,0.002,0.9367,0.0344,0.5551,1.2774,-0.0133,1.0163,0,,,,
trade_000027,2025-06-11 17:35:47,NVDA,342.96,16359,0.1654,45.79,0.6991,0.5385,253720900096,17.18,1.03,-0.0186,0.9423,0.0342,0.461,1.0323,0.0046,0.9054,0,,,,
trade_000028,2025-06-15 03:01:31,NVDA,341.91,38536,0.357,46.07,-0.2428,0.4469,950238019822,20.19,1.1924,-0.0228,0.5572,-0.0743,0.3448,1.3857,-0.0023,1.09,0,,,,
trade_000029,2025-06-22 20:16:45,AAPL,395.12,7449,0.3471,50.54,1.3921,0.4861,1562632276,11.58,0.9404,0.0254,0.8862,0.0463,0.6239,1.2386,-0.0152,0.7805,0,,,,
trade_000030,2025-06-14 05:50:54,AMZN,255.25,6268,0.1762,51.23,-0.5123,0.3985,995262285807,23.95,0.9407,-0.0211,0.6076,-0.0194,0.6036,1.0526,-0.0002,0.8951,0,,,,
