id,timestamp,symbol,price,volume,volatility,rsi,macd,bollinger_position,market_cap,pe_ratio,volume_profile,price_momentum,liquidity_ratio,order_book_imbalance,cross_correlation,sector_beta,vwap_deviation,time_of_day_factor,is_anomaly,anomaly_type,anomaly_reason_1,anomaly_reason_2,anomaly_reason_3
trade_000000,2025-06-21 17:25:40,AMZN,326.21,15573,0.2208,40.4,1.6624,0.6154,945415409328,25.47,0.9885,-0.0341,0.8251,0.0777,0.4169,1.0651,-0.0069,0.7282,0,,,,
trade_000001,2025-05-31 15:45:39,NFLX,135.85,12220,0.1246,40.15,-1.4825,0.5849,454100348453,34.66,0.9801,-0.0322,0.8323,0.0779,0.6136,1.0472,0.0,0.9095,0,,,,
trade_000002,2025-06-05 19:30:02,XOM,202.8,33834,0.2261,66.67,-1.7845,0.7912,536340809832,30.35,0.8773,-0.0015,0.566,-0.0434,0.3003,1.0797,0.0119,1.0016,0,,,,
trade_000003,2025-06-03 09:34:27,PG,175.31,30451,0.3498,63.91,-1.2756,0.5798,335331088008,38.0,1.0534,-0.031,0.5338,-0.0104,0.4431,1.1642,0.0163,1.2711,0,,,,
trade_000004,2025-06-15 00:45:08,WMT,89.79,22538,0.1634,54.61,1.0556,0.6562,35609496116,16.42,1.0354,-0.0139,0.963,0.0103,0.635,0.9372,-0.0048,1.1027,0,,,,
trade_000005,2025-06-13 02:13:18,BAC,282.06,2999,0.1622,35.19,1.4198,0.4023,978251254390,31.53,1.0392,0.048,0.947,-0.0581,0.5557,1.1736,-0.0068,0.7789,0,,,,
trade_000006,2025-05-31 02:56:11,AMZN,451.9,15996,0.1115,34.04,-0.2004,0.5206,190867181645,19.16,1.0558,0.0261,0.775,0.0572,0.5337,1.0753,0.0102,1.1931,0,,,,
trade_000007,2025-05-30 17:27:47,XOM,393.66,29609,0.1082,68.14,0.6513,0.4457,298641162548,14.51,0.9825,0.0071,0.6971,-0.0524,0.3497,0.8859,0.0051,0.7639,0,,,,
trade_000008,2025-05-24 14:46:16,META,358.85,2430,0.2049,49.04,-1.2501,0.7642,591401133061,30.4,0.9272,0.0038,0.7329,-0.0068,0.6609,0.9462,-0.0164,1.2678,0,,,,
trade_000009,2025-06-12 20:06:07,PG,140.17,40103,0.2403,62.85,0.2999,0.3641,748136661106,30.03,0.892,-0.0185,0.5157,-0.0488,0.4836,1.1959,-0.02,1.1088,0,,,,
trade_000010,2025-05-24 00:06:17,NFLX,366.23,19584,0.3551,67.54,0.921,0.6238,422444129499,36.88,1.025,-0.0429,0.5756,0.004,0.4097,1.1354,-0.0113,1.069,0,,,,
trade_000011,2025-06-19 18:36:11,TSLA,335.95,44992,0.233,52.03,1.5302,0.3431,475830773252,18.67,1.0096,-0.0346,0.8644,0.0109,0.3166,1.3873,0.0038,0.7119,0,,,,
trade_000012,2025-06-10 23:50:47,BAC,135.95,38715,0.3632,45.46,0.4888,0.529,871429257208,22.56,1.0889,-0.0025,0.5585,-0.0008,0.4292,0.9963,-0.0015,0.876,0,,,,
trade_000013,2025-05-25 14:06:55,BAC,179.54,9990,0.2661,48.79,-1.4934,0.4719,204826149557,26.89,0.838,-0.0435,0.8415,0.0388,0.5266,0.953,-0.0063,1.1952,0,,,,
trade_000014,2025-06-15 10:08:51,WMT,445.99,13119,0.2871,41.82,0.9821,0.2906,931751259586,15.04,1.1034,0.0432,0.8958,-0.0844,0.3306,1.0532,-0.0183,1.1581,0,,,,
